Tweet, '@Bville_Superman @BigBankL_ @caramelambition @PrynceJacobs Wild times lmaooo',1
Reply, '@Bville_Superman @BigBankL_ @caramelambition @PrynceJacobs Wild times lmaooo' '@cjjc1316 @Bville_Superman @caramelambition @PrynceJacobs Cant believe she disrespected my baby #IphoneX',1
Tweet," 'Despite me still hating the display of the Pixel 2 XL, the camera and Android Oreo keep me coming back. The softwar\xe2\x80\xa6 https://t.co/DgNB0bxmkV'",1
Reply," 'Despite me still hating the display of the Pixel 2 XL, the camera and Android Oreo keep me coming back. The softwar\xe2\x80\xa6 https://t.co/DgNB0bxmkV' '@superscientific Currently have the #iphoneX but I had the #pixel2 prior to the iPhone X, if it wasn\xe2\x80\x99t for iMessage\xe2\x80\xa6 https://t.co/Z8Tcftuxo5'",1
Tweet, 'iPhoneX\xe3\x81\xae\xe7\x94\xbb\xe9\x9d\xa2\xe3\x82\x92\xe9\x96\x8b\xe3\x81\x84\xe3\x81\xa6\xe3\x82\x8b\xe6\x99\x82\xe3\x81\xab\xe9\x80\x9a\xe7\x9f\xa5\xe3\x81\x8c\xe3\x81\x8d\xe3\x81\x9f\xe5\xa0\xb4\xe5\x90\x88\xe3\x81\xae\xe7\xa2\xba\xe8\xaa\x8d\xe6\x96\xb9\xe6\xb3\x95\xe3\x81\xa7\xe3\x81\x99\n\n\xe7\x9b\xae\xe8\xa6\x9a\xe3\x81\xbe\xe3\x81\x97\xe3\x81\x8c\xe7\x99\xba\xe5\x8b\x95\xe3\x81\x97\xe3\x81\x9f\xe5\xa0\xb4\xe5\x90\x88\xe3\x81\x93\xe3\x81\xae\xe3\x82\x84\xe3\x82\x8a\xe6\x96\xb9\xe3\x81\x8c\xe6\xa5\xbd\xe3\x81\xa7\xe3\x81\x99\n\n\xe9\x80\x9a\xe7\x9f\xa5\xe3\x81\x8c\xe3\x81\x8d\xe3\x81\x9f\xe3\x82\x89\xe3\x83\x9e\xe3\x83\xbc\xe3\x82\xaf\xe3\x81\x97\xe3\x81\x9f\xe3\x81\x82\xe3\x81\x9f\xe3\x82\x8a\xe3\x82\x92\xe4\xb8\x8b\xe3\x81\xab\xe3\x82\xb9\xe3\x83\xa9\xe3\x82\xa4\xe3\x83\x89\xe3\x81\x97\xe3\x81\xa6\xe3\x81\xbf\xe3\x81\xbe\xe3\x81\x97\xe3\x82\x87\xe3\x81\x86\n\n\xe3\x81\x99\xe3\x82\x8b\xe3\x81\xa8\xe3\x82\xb9\xe3\x83\x8c\xe3\x83\xbc\xe3\x82\xba\xe3\x81\xab\xe3\x81\x99\xe3\x82\x8b\xe3\x81\x8b\xe5\x81\x9c\xe6\xad\xa2\xe3\x81\x99\xe3\x82\x8b\xe3\x81\x8b\xe3\x81\x8c\xe9\x81\xb8\xe6\x8a\x9e\xe3\x81\xa7\xe3\x81\x8d\xe3\x81\xbe\xe3\x81\x99\n\n\xe3\x82\xb9\xe3\x83\xa9\xe3\x82\xa4\xe3\x83\x89\xe3\x81\x97\xe2\x80\xa6 https://t.co/ze4Y6J7UMH',1
Reply, 'iPhoneX\xe3\x81\xae\xe7\x94\xbb\xe9\x9d\xa2\xe3\x82\x92\xe9\x96\x8b\xe3\x81\x84\xe3\x81\xa6\xe3\x82\x8b\xe6\x99\x82\xe3\x81\xab\xe9\x80\x9a\xe7\x9f\xa5\xe3\x81\x8c\xe3\x81\x8d\xe3\x81\x9f\xe5\xa0\xb4\xe5\x90\x88\xe3\x81\xae\xe7\xa2\xba\xe8\xaa\x8d\xe6\x96\xb9\xe6\xb3\x95\xe3\x81\xa7\xe3\x81\x99\n\n\xe7\x9b\xae\xe8\xa6\x9a\xe3\x81\xbe\xe3\x81\x97\xe3\x81\x8c\xe7\x99\xba\xe5\x8b\x95\xe3\x81\x97\xe3\x81\x9f\xe5\xa0\xb4\xe5\x90\x88\xe3\x81\x93\xe3\x81\xae\xe3\x82\x84\xe3\x82\x8a\xe6\x96\xb9\xe3\x81\x8c\xe6\xa5\xbd\xe3\x81\xa7\xe3\x81\x99\n\n\xe9\x80\x9a\xe7\x9f\xa5\xe3\x81\x8c\xe3\x81\x8d\xe3\x81\x9f\xe3\x82\x89\xe3\x83\x9e\xe3\x83\xbc\xe3\x82\xaf\xe3\x81\x97\xe3\x81\x9f\xe3\x81\x82\xe3\x81\x9f\xe3\x82\x8a\xe3\x82\x92\xe4\xb8\x8b\xe3\x81\xab\xe3\x82\xb9\xe3\x83\xa9\xe3\x82\xa4\xe3\x83\x89\xe3\x81\x97\xe3\x81\xa6\xe3\x81\xbf\xe3\x81\xbe\xe3\x81\x97\xe3\x82\x87\xe3\x81\x86\n\n\xe3\x81\x99\xe3\x82\x8b\xe3\x81\xa8\xe3\x82\xb9\xe3\x83\x8c\xe3\x83\xbc\xe3\x82\xba\xe3\x81\xab\xe3\x81\x99\xe3\x82\x8b\xe3\x81\x8b\xe5\x81\x9c\xe6\xad\xa2\xe3\x81\x99\xe3\x82\x8b\xe3\x81\x8b\xe3\x81\x8c\xe9\x81\xb8\xe6\x8a\x9e\xe3\x81\xa7\xe3\x81\x8d\xe3\x81\xbe\xe3\x81\x99\n\n\xe3\x82\xb9\xe3\x83\xa9\xe3\x82\xa4\xe3\x83\x89\xe3\x81\x97\xe2\x80\xa6 https://t.co/ze4Y6J7UMH' '#\xe3\x82\xa2\xe3\x82\xa4\xe3\x83\x95\xe3\x82\xa9\xe3\x83\xb3X #iPhoneX',1
Tweet, 'I Tried The iPhone X \xe2\x80\x94 And The Killer Feature Is Its Size - BuzzFeed News https://t.co/FwFFfwOH6S',1
Reply, 'I Tried The iPhone X \xe2\x80\x94 And The Killer Feature Is Its Size - BuzzFeed News https://t.co/FwFFfwOH6S' '@BryceLim Did you get yours yet?  #iPhoneX',1
Tweet, '@MimiKendrix #dope',1
Reply, '@MimiKendrix #dope' '@boss2boss3 Really!?  I need to go check out some sample images of the #iPhoneX #camera and read some reviews hehe',1
